Subject,Nerve,Disc,Distance - PMJ (mm),Distance - Disc (mm)
sub-003_ses-headNormal,2.0,1.0,55.419626048204094,7.921673365106059
sub-003_ses-headNormal,3.0,1.0,79.73688171883069,32.84847830173419
sub-003_ses-headNormal,5.0,1.0,98.56691425346695,51.06896157036891
sub-003_ses-headNormal,7.0,1.0,130.8247068784212,83.93630346132471
sub-003_ses-headNormal,6.0,1.0,116.20824395695664,77.8534000489382
sub-003_ses-headNormal,2.0,1.0,55.419626048204094,7.921673365106059
sub-003_ses-headNormal,3.0,1.0,79.73688171883069,32.84847830173419
sub-003_ses-headNormal,5.0,1.0,98.56691425346695,51.06896157036891
sub-003_ses-headNormal,7.0,1.0,130.8247068784212,83.93630346132471
sub-003_ses-headNormal,6.0,1.0,116.20824395695664,77.8534000489382
sub-003_ses-headNormal,2,1.0,55.419626048204094,7.921673365106059
sub-003_ses-headNormal,3,1.0,79.73688171883069,32.84847830173419
sub-003_ses-headNormal,5,1.0,98.56691425346695,58.99313750920052
sub-003_ses-headNormal,6,1.0,130.8247068784212,91.25093013415479
sub-003_ses-headNormal,7,1.0,116.20824395695664,77.2439398328092
sub-003_ses-headNormal,2,1.0,55.419626048204094,7.921673365106059
sub-003_ses-headNormal,3,1.0,79.73688171883069,32.84847830173419
sub-003_ses-headNormal,5,1.0,98.56691425346695,58.99313750920052
sub-003_ses-headNormal,6,1.0,130.8247068784212,91.25093013415479
sub-003_ses-headNormal,7,1.0,116.20824395695664,77.2439398328092
